,N/A (Born in the US),Before 1950,1950 - 1959,1960 - 1969,1970 - 1979,1980 - 1989,1990 - 1999,2000 - 2009,2010 or later
-> Suppressed for data year 2018 for select PUMAs,,,,,,,,,
not_us_citizen,,,,,,,32000,9658,5250
-> Moroccan,,,,,,,,,
us_citizen,5853,561,26569,51101,78219,66871,44350,33509,15314
not_us_citizen,,0,0,,4104,21114,26109,29935,18015
-> North African,,,,,,,,,
us_citizen,10057,,138462,35038,30364,84296,69981,43694,10993
not_us_citizen,,,,,,11002,29015,50816,21724
-> Iranian,,,,,,,,,
us_citizen,26875,34977,22018,43054,77234,68750,61435,40788,24698
not_us_citizen,,0,0,7574,34768,34875,40904,51694,22695
-> Iraqi,,,,,,,,,
us_citizen,10374,268,6829,20475,43060,58860,29936,19057,15264
not_us_citizen,,0,0,2168,10827,0,27064,9871,8590
-> Israeli,,,,,,,,,
us_citizen,23077,235,38091,52472,64140,71210,78484,60447,29388
not_us_citizen,,,,4395,51019,39308,63689,55382,37499
-> Jordanian,,,,,,,,,
us_citizen,7099,898,20679,47526,34671,60372,41888,29846,11088
not_us_citizen,,,,,44390,27907,27197,33674,14367
-> Kuwaiti (2017 or later),,,,,,,,,
us_citizen,-2335,,,60000,1800,305000,40498,15426,40000
not_us_citizen,,,,,0,,153280,12145,-336
-> Lebanese,,,,,,,,,
us_citizen,33407,8296,32058,45205,58648,76266,54029,43382,23913
not_us_citizen,,130000,0,1040,25204,51535,38463,52713,31615
-> Saudi Arabian,,,,,,,,,
us_citizen,2564,,,,180468,51954,20504,11476,6210
not_us_citizen,,,,0,,0,20124,29264,2222
-> Syrian,,,,,,,,,
us_citizen,27508,25099,27015,37965,44673,67455,77958,31430,21598
not_us_citizen,,0,0,4200,3885,13499,32759,62053,7146
-> Armenian,,,,,,,,,
us_citizen,29442,3107,16371,38762,46419,44719,37474,25415,21836
not_us_citizen,,0,12832,15863,24530,28632,28311,25006,13298
-> Turkish,,,,,,,,,
us_citizen,18223,0,56948,38778,55239,75603,71422,44383,22762
not_us_citizen,,0,0,31182,46876,44427,52890,43698,24310
-> Yemeni,,,,,,,,,
us_citizen,-3772,0,0,13647,18929,27296,21111,13498,-1742
not_us_citizen,,,,0,0,4225,10976,10354,6074
-> Kurdish,,,,,,,,,
us_citizen,-563,,4078,15634,46569,44495,28882,41630,9610
not_us_citizen,,,,,112043,0,11376,35127,14089
-> Palestinian,,,,,,,,,
us_citizen,18394,15932,15881,32568,42778,54761,38697,37073,1294
not_us_citizen,,,114000,0,6560,22213,27445,25430,11308
-> Assyrian,,,,,,,,,
us_citizen,25589,1314,207,13875,55945,36166,34285,18416,13376
not_us_citizen,,,,,20423,51387,18310,19896,19881
-> Chaldean,,,,,,,,,
us_citizen,11750,175610,4800,18124,38327,44815,26141,9498,6908
not_us_citizen,,,0,270,0,27637,7616,16644,5224
-> Mideast,,,,,,,,,
us_citizen,20093,0,8687,57407,68713,62028,60668,37925,13789
not_us_citizen,,,0,2377,29905,91448,42991,45061,16082
-> Arab,,,,,,,,,
us_citizen,9174,30714,2625,31459,44792,47951,42431,28281,7439
not_us_citizen,,0,,0,98250,30100,33158,24661,6383
-> Arabic,,,,,,,,,
us_citizen,7461,0,4406,33298,42773,46145,38301,19126,4099
not_us_citizen,,,0,11616,10988,30335,24143,18080,6121
-> Other Arab,,,,,,,,,
